,name,gPlusPlaceId,location/lat,location/lng,address,url,categories,categoryName,average_rating,average_predict_rating,total_rows
1585,Công ty cổ phần chế biến thực phẩm Hóc Môn - Nhà Máy GMGS Xuân Thới Thượng,ChIJHb6qosMqdTERR3SK4MHLKiw,10.8550778,106.5539914,"179 ấp 1, Xuân Thới Thượng, Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJHb6qosMqdTERR3SK4MHLKiw,Văn phòng công ty,Văn phòng công ty,4.75,4.194082413861496,4
1586,Công ty nội thất My Home Decor,ChIJnd9Kss4vdTERJR6VcPYsWXI,10.74605,106.7012534,"33 Đ. Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh 70000, Việt Nam","https://www.google.com/maps/place/C%C3%B4ng+ty+n%E1%BB%99i+th%E1%BA%A5t+My+Home+Decor/@10.74605,106.7012534,17z/data=!3m1!4b1!4m6!3m5!1s0x31752fceb24adf9d:0x72592cf670951e25!8m2!3d10.74605!4d106.7012534!16s%2Fg%2F11vpxwq0h5?hl=vi&entry=ttu",Cửa hàng nội thất,Cửa hàng nội thất,5.0,4.206964909323855,2
1587,Công ty nội thất Tân Vinh Mỹ,ChIJW8_0NT_XdDERvZeUhUIKPSc,10.9105063,106.6502255,"3/16, Đông Thạnh, Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJW8_0NT_XdDERvZeUhUIKPSc,Nhà sản xuất,Nhà sản xuất,5.0,4.188110196478182,3
1588,Công ty quảng cáo nội thất Sáng Tạo - Sangtaodecor,ChIJEzqYdHUrdTER1s2c-bWElT8,10.8692299,106.5754029,"22/3C Đường Trương Thị Như, Xuân Thới Sơn, Hóc Môn, Thành phố Hồ Chí Minh 71712, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJEzqYdHUrdTER1s2c-bWElT8,"Cơ quan quảng cáo, Cửa hàng nội thất nhà hàng quán bar, Cửa hàng nội thất phòng ngủ, Cửa hàng nội thất trẻ em, Thợ làm đồ nội thất, Cửa hàng nội thất, Cửa hàng nội thất nhà bếp, Xưởng kim loại, Cửa hàng nội thất văn phòng, Cửa hàng nội thất cho siêu thị và tiệm hàng",Cơ quan quảng cáo,5.0,4.216885832362498,3
1589,Công ty vận tải và giao nhận Bia Sài Gòn,ChIJs0LdIeEsCzERee8M-ACyj8M,11.0138838,106.5080655,"2G75+H64, Nhuận Đức, Củ Chi, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/C%C3%B4ng+ty+v%E1%BA%ADn+t%E1%BA%A3i+v%C3%A0+giao+nh%E1%BA%ADn+Bia+S%C3%A0i+G%C3%B2n/@11.0138838,106.5080655,17z/data=!3m1!4b1!4m6!3m5!1s0x310b2ce121dd42b3:0xc38fb200f80cef79!8m2!3d11.0138838!4d106.5080655!16s%2Fg%2F11c5cr9dqm?hl=vi&entry=ttu",Công ty vận tải đường bộ,Công ty vận tải đường bộ,2.0,4.076967135064745,2
1590,Công ty xử lý chất thải Tây Bắc,ChIJwTcJbkUpCzERtzczx3xeMWE,10.966851,106.4266634,"XC8G+PMV, ĐT823, Thái Mỹ, Củ Chi, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/C%C3%B4ng+ty+x%E1%BB%AD+l%C3%BD+ch%E1%BA%A5t+th%E1%BA%A3i+T%C3%A2y+B%E1%BA%AFc/@10.966851,106.4266634,17z/data=!3m1!4b1!4m6!3m5!1s0x310b29456e0937c1:0x61315e7cc73337b7!8m2!3d10.966851!4d106.4266634!16s%2Fg%2F11b7hkfj_x?hl=vi&entry=ttu",Công ty,Công ty,2.0,4.17408678647973,2
1591,Công ty Điện lực Thủ Đức,ChIJi5ce5fAndTERi70BAudW7Iw,10.8668402,106.7376397,"Tô Ngọc Vân, Tam Binh, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJi5ce5fAndTERi70BAudW7Iw,Văn phòng công ty,Văn phòng công ty,2.711864406779661,4.117708741422767,59
1592,Công viên 69/4 Đặng Thùy Trâm,ChIJ66OUEosodTERxkxhRayikMA,10.828643,106.7020004,"Hẻm 69/4 Đ. Đặng Thuỳ Trâm, Phường 13, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/C%C3%B4ng+vi%C3%AAn+69%2F4+%C4%90%E1%BA%B7ng+Th%C3%B9y+Tr%C3%A2m/@10.828643,106.7020004,17z/data=!3m1!4b1!4m6!3m5!1s0x3175288b1294a3eb:0xc090a2ac45614cc6!8m2!3d10.828643!4d106.7020004!16s%2Fg%2F11dxjvnjwc?hl=vi&entry=ttu",Công viên,Công viên,3.823529411764706,4.196905182256976,17
1593,Công viên Bờ sông KDC ĐẠI HỌC MỞ,ChIJAdpigpohdTER6odTxqCvUKA,10.8084351,106.8398566,"Đường D7, Trường Thạnh, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJAdpigpohdTER6odTxqCvUKA,Công viên,Công viên,5.0,4.098150609493179,2
1594,Công viên Celadon,ChIJc-AK7ewrdTERsejlojyiRfs,10.8060448,106.6158656,"RJ48+C89, Sơn Kỳ, Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJc-AK7ewrdTERsejlojyiRfs,Công viên,Công viên,4.036144578313253,4.14574899210949,83
