name,categories,average_rating,location/lat,location/lng,gPlusPlaceId,url
엔젤이발소 angel barbershop,Tiệm cắt tóc,3.771739130434783,10.7336658,106.7088483,ChIJtbX9opAvdTERcWst4_A0e6A,"https://www.google.com/maps/place/%EC%97%94%EC%A0%A4%EC%9D%B4%EB%B0%9C%EC%86%8C+angel+barbershop/@10.7336658,106.7088483,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f90a2fdb5b5:0xa07b34f0e32d6b71!8m2!3d10.7336658!4d106.7088483!16s%2Fg%2F11ggs4gnrc?hl=vi&entry=ttu"
ART Barbershop 11,Tiệm cắt tóc,4.948275862068965,10.8205882,106.6868951,ChIJ2RRFXA8pdTERYc8CznQiLIk,"https://www.google.com/maps/place/ART+Barbershop+11/@10.8205882,106.6868951,17z/data=!3m1!4b1!4m6!3m5!1s0x3175290f5c4514d9:0x892c2274ce02cf61!8m2!3d10.8205882!4d106.6868951!16s%2Fg%2F11khrpppld?hl=vi&entry=ttu"
Barber shop Bố Già,Tiệm cắt tóc,4.875,10.8075948,106.6077745,ChIJvdJwaTYrdTERK9xGJmHgb2I,https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJvdJwaTYrdTERK9xGJmHgb2I
BarberShop Vũ Trí 4,Tiệm cắt tóc,4.8111587982832615,10.7965701,106.6410055,ChIJda2StAApdTERQQIBrz9JUyE,"https://www.google.com/maps/place/BarberShop+V%C5%A9+Tr%C3%AD+4/@10.7965701,106.6410055,17z/data=!3m1!4b1!4m6!3m5!1s0x31752900b492ad75:0x2153493faf010241!8m2!3d10.7965701!4d106.6410055!16s%2Fg%2F11gn1vfkws?hl=vi&entry=ttu"
30Shine 323 Xô Viết Nghệ Tĩnh,Tiệm cắt tóc,3.7058823529411766,10.803411,106.7112926,ChIJQ7d1NrsodTERxoJ4Y3sOqSk,"https://www.google.com/maps/place/30Shine+323+X%C3%B4+Vi%E1%BA%BFt+Ngh%E1%BB%87+T%C4%A9nh/@10.803411,106.7112926,17z/data=!3m1!4b1!4m6!3m5!1s0x317528bb3675b743:0x29a90e7b637882c6!8m2!3d10.803411!4d106.7112926!16s%2Fg%2F11hbt545s8?hl=vi&entry=ttu"
30Shine,Tiệm cắt tóc,3.629139072847682,10.7808993,106.6696095,ChIJ_SsUYZovdTERXLY_w4tfWro,"https://www.google.com/maps/place/30Shine/@10.7808993,106.6696095,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f9a61142bfd:0xba5a5f8bc33fb65c!8m2!3d10.7808993!4d106.6696095!16s%2Fg%2F11f5_jf9bb?hl=vi&entry=ttu"
