"placeId","title","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categoryName","location/lat","location/lng","address","permanentlyClosed","url"
"ChIJO_e6nQkhdTERY0AlkzZSXms","Chợ Đêm Sài Gòn Grand Park","Công viên",,,,,,,,,"Công viên","10.842193","106.8427234","Công Viên Ánh Sáng, Đường D8, Vinhomes Grand Park, Thủ Đức, Thành phố Hồ Chí Minh 700000, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJO_e6nQkhdTERY0AlkzZSXms"
"ChIJv7Va9cQhdTERZD5X3ko37Ic","Công Viên Cầu Vồng - Vinhomes Grand Park","Công viên nước",,,,,,,,,"Công viên nước","10.8416282","106.8379086","512, Vinhomes Grandpark, Thành phố Hồ Chí Minh, 71216, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJv7Va9cQhdTERZD5X3ko37Ic"
"ChIJp60_89MhdTERU0k-rLk10So","Công viên vinhome grandpark","Khu liên hợp căn hộ",,,,,,,,,"Khu liên hợp căn hộ","10.8413698","106.8477099","39490 Phước Thiện, Long Bình, Quận 9, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJp60_89MhdTERU0k-rLk10So"
"ChIJJXZytvUndTERINfftyeU14c","Nhà Thờ Giáo Xứ Tam Hải","Nhà thờ Công giáo",,,,,,,,,"Nhà thờ Công giáo","10.8715706","106.7429283","180 Đ. Tam Châu, Tam Binh, Thành Phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJJXZytvUndTERINfftyeU14c"
"ChIJgy-yJl-oCjERGAUjpiBPnPc","Dinh thự The Rivus Elie Saab Thủ Đức","Biệt thự","Trường kinh doanh","Văn phòng công ty","Khu nhà liền kề",,,,,,"Biệt thự","10.8407208","106.8507782","The Rivus, Phước Thiện, Long Phước, TP.Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJgy-yJl-oCjERGAUjpiBPnPc"
"ChIJASsV0vQndTERmUoRsk8qxx0","Trung Tâm Đăng Kiểm Ô Tô 50-03V","Trạm đăng kiểm xe",,,,,,,,,"Trạm đăng kiểm xe","10.8708345","106.7463565","107 Phú Châu, Tam Binh, Thành Phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJASsV0vQndTERmUoRsk8qxx0"
"ChIJr7d0EzwhdTER2_dnEQCJD4Q","Công viên ánh sáng Vinhomes Grandpark","Công viên",,,,,,,,,"Công viên","10.8404323","106.8444537","Nguyễn Xiển, Vinhomes Grand Park, Quận 9, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJr7d0EzwhdTER2_dnEQCJD4Q"
"ChIJSecCTysndTER6mKGxwsb0Mc","Lẩu Mini Bếp Nhà Ngô","Nhà hàng món lẩu",,,,,,,,,"Nhà hàng món lẩu","10.8691318","106.7438306","159 Đ. Tam Châu, Tam Binh, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJSecCTysndTER6mKGxwsb0Mc"
"ChIJiSmW_cMhdTER-NXxEa_8il8","Tòa S5.01 Vinhomes Grand Park","Chung cư",,,,,,,,,"Chung cư","10.8403618","106.8368782","Unnamed Road, Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJiSmW_cMhdTER-NXxEa_8il8"
"ChIJF_KZNz8ndTER44274MfqFMM","Đan viện Biển Đức Thiên Phước","Tu viện","Tổ chức tôn giáo",,,,,,,,"Tu viện","10.8687939","106.7409947","Tp, 18 Đường Số 7, Khu phố 2, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJF_KZNz8ndTER44274MfqFMM"
"ChIJjUjAbAAhdTER8eMNO1itXhM","Hương vị Bắc","Nhà hàng ăn nhanh",,,,,,,,,"Nhà hàng ăn nhanh","10.8395941","106.8344947","RRQM+QRF, Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJjUjAbAAhdTER8eMNO1itXhM"
"ChIJI8lwadghdTERrTa8sgp-J10","Phố đi bộ - Chợ đêm Sài Gòn Grand Park","Chợ đêm",,,,,,,,,"Chợ đêm","10.8395738","106.8449324","RRQV+WX, Long Bình, Quận 9, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJI8lwadghdTERrTa8sgp-J10"
